index,Przeciwnik,Gole strzelone,Gole stracone,Miejsce,Dzień_tygodnia,Godzina,Waznosc
0,Górnik Zabrze,2,0,U siebie,Niedziela,15:00,0.9
1,Widzew Łódź,1,2,Na wyjeździe,Sobota,18:00,0.6
2,Lechia Gdańsk,3,1,U siebie,Sobota,20:00,0.9
3,Raków Częstochowa,0,0,Na wyjeździe,Piątek,20:30,0.6
4,Zagłębie Lubin,1,0,Na wyjeździe,Niedziela,17:00,0.6
5,Pogoń Szczecin,2,0,U siebie,Sobota,18:00,0.9
6,Stal Mielec,2,0,Na wyjeździe,Piątek,19:00,0.6
7,Jagiellonia Białystok,5,0,U siebie,Sobota,20:00,0.9
8,Śląsk Wrocław,1,0,U siebie,Niedziela,16:00,0.9
9,Korona Kielce,3,2,Na wyjeździe,Niedziela,15:30,0.6
10,Motor Lublin,1,2,U siebie,Sobota,18:00,0.9
11,Cracovia Kraków,2,0,Na wyjeździe,Sobota,17:00,0.6
12,Radomiak Radom,2,1,U siebie,Niedziela,14:00,0.9
13,Puszcza Niepołomice,0,2,Na wyjeździe,Piątek,20:00,0.6
14,Legia Warszawa,5,2,U siebie,Niedziela,18:00,0.9
15,GKS Katowice,2,0,U siebie,Sobota,20:00,0.9
16,Piast Gliwice,0,0,Na wyjeździe,Piątek,19:00,0.6
17,Górnik Zabrze,1,2,Na wyjeździe,Piątek,19:45,0.6
18,Piast Gliwice,2,1,Na wyjeździe,Sobota,20:00,0.6
19,Radomiak Radom,2,0,U siebie,Niedziela,17:30,0.9
20,Zagłębie Lubin,1,1,Na wyjeździe,Niedziela,16:30,0.6
21,Śląsk Wrocław,1,3,Na wyjeździe,Niedziela,16:30,0.6
22,Górnik Zabrze,1,1,U siebie,Sobota,19:00,0.9
23,Warta Poznań,2,0,Na wyjeździe,Niedziela,16:30,0.6
24,Stal Mielec,2,1,U siebie,Sobota,19:00,0.9
25,Raków Częstochowa,4,1,U siebie,Czwartek,19:00,0.9
26,Pogoń Szczecin,0,5,Na wyjeździe,Niedziela,16:30,0.6
27,Puszcza Niepołomice,4,1,U siebie,Piątek,19:30,0.9
28,ŁKS Łódź,3,1,U siebie,Sobota,19:00,0.9
29,Jagiellonia Białystok,3,3,U siebie,Wtorek,17:00,0.9
30,Cracovia Kraków,1,1,Na wyjeździe,Sobota,16:30,0.6
31,Ruch Chorzów,2,0,U siebie,Sobota,19:00,0.9
32,Legia Warszawa,0,0,Na wyjeździe,Niedziela,16:30,0.6
33,Widzew Łódź,1,3,U siebie,Niedziela,16:30,0.9
34,Korona Kielce,1,0,Na wyjeździe,Sobota,19:00,0.6
35,Piast Gliwice,0,1,U siebie,Niedziela,11:30,0.9
36,Radomiak Radom,2,2,Na wyjeździe,Sobota,19:00,0.6
37,Zagłębie Lubin,2,0,U siebie,Sobota,19:00,0.9
38,Jagiellonia Białystok,2,1,Na wyjeździe,Sobota,16:30,0.6
39,Śląsk Wrocław,0,0,U siebie,Sobota,16:30,0.9
40,Raków Częstochowa,0,4,Na wyjeździe,Niedziela,16:30,0.6
